"","mean","sd","median","lower2.5","upper97.5","diff"
"a[1,35]",0.2384,0.03738,0.25384,0.17769,0.29314,1
"a[2,35]",0.00337,0.00194,0.00297,-0.00028,0.00803,0
"a[3,35]",-0.02393,0.01388,-0.02198,-0.05504,0.00094,0
"a[4,35]",0.00035,0.00188,-4e-05,-0.00373,0.00372,0
"a[5,35]",0.41579,0.03735,0.42921,0.33914,0.46771,1
"a[1,36]",0.23858,0.0371,0.25405,0.17884,0.29263,1
"a[2,36]",0.00309,0.002,0.00279,-0.00078,0.00763,0
"a[3,36]",-0.02363,0.01427,-0.02155,-0.05705,0.00034,0
"a[4,36]",0.00052,0.00192,-3e-05,-0.00374,0.00471,0
"a[5,36]",0.41507,0.03838,0.42892,0.33541,0.4684,1
"a[1,37]",0.2385,0.03716,0.25455,0.17811,0.2914,1
"a[2,37]",0.00298,0.0021,0.00271,-0.00128,0.00792,0
"a[3,37]",-0.02344,0.0146,-0.02176,-0.0562,0.00278,0
"a[4,37]",0.00037,0.00195,-4e-05,-0.00409,0.00425,0
"a[5,37]",0.41577,0.03754,0.4291,0.33767,0.4699,1
"a[1,38]",0.23841,0.03714,0.25395,0.17876,0.29248,1
"a[2,38]",0.00319,0.00202,0.00288,-0.00072,0.0078,0
"a[3,38]",-0.02338,0.01409,-0.02164,-0.05662,0.00135,0
"a[4,38]",0.00042,0.00191,-3e-05,-0.00369,0.004,0
"a[5,38]",0.41461,0.03843,0.42827,0.33564,0.46801,1
"a[1,39]",0.23869,0.03737,0.25441,0.17754,0.29202,1
"a[2,39]",0.00294,0.002,0.00274,-0.00137,0.00746,0
"a[3,39]",-0.02392,0.01444,-0.02214,-0.05668,0.00117,0
"a[4,39]",0.00032,0.00191,-4e-05,-0.00426,0.00392,0
"a[5,39]",0.41424,0.03912,0.42824,0.33088,0.46834,1
"a[1,40]",0.23805,0.03703,0.25358,0.17824,0.29163,1
"a[2,40]",0.0029,0.00201,0.00267,-0.0015,0.00731,0
"a[3,40]",-0.0237,0.01436,-0.02167,-0.05706,0.00142,0
"a[4,40]",0.00043,0.00191,-3e-05,-0.00376,0.00416,0
"a[5,40]",0.41535,0.0382,0.42992,0.33748,0.46825,1
"a[1,41]",0.23884,0.03734,0.25425,0.17945,0.29356,1
"a[2,41]",0.00304,0.00202,0.00276,-0.00127,0.0078,0
"a[3,41]",-0.02362,0.01425,-0.02152,-0.05659,0.00068,0
"a[4,41]",0.00038,0.00198,-4e-05,-0.00405,0.00416,0
"a[5,41]",0.41517,0.03838,0.42993,0.33679,0.46756,1
"a[1,42]",0.23819,0.03681,0.25447,0.17924,0.28882,1
"a[2,42]",0.00307,0.00199,0.00277,-0.00083,0.0077,0
"a[3,42]",-0.02388,0.01404,-0.02196,-0.05777,5e-04,0
"a[4,42]",4e-04,0.00188,-3e-05,-0.00397,0.00422,0
"a[5,42]",0.41438,0.03861,0.4286,0.3332,0.46818,1
"a[1,43]",0.23813,0.03697,0.25372,0.17894,0.29161,1
"a[2,43]",0.00296,0.00206,0.00272,-0.00133,0.00773,0
"a[3,43]",-0.02387,0.01414,-0.02175,-0.05645,0.00192,0
"a[4,43]",0.00035,0.00186,-4e-05,-0.0037,0.0039,0
"a[5,43]",0.41603,0.0377,0.42967,0.33962,0.46937,1
"a[1,44]",0.23826,0.03714,0.254,0.17787,0.2917,1
"a[2,44]",0.00297,0.00205,0.00272,-0.00142,0.0076,0
"a[3,44]",-0.02374,0.01421,-0.02186,-0.05671,0.00073,0
"a[4,44]",0.00038,0.0019,-3e-05,-0.00407,0.00392,0
"a[5,44]",0.41589,0.03768,0.42986,0.33839,0.46873,1
"a[1,45]",0.23835,0.0373,0.25407,0.17805,0.29195,1
"a[2,45]",0.00296,0.00209,0.00269,-0.00145,0.00764,0
