"","mean","sd","median","lower2.5","upper97.5","diff"
"a[4,43]",0.0012,0.00218,0.00151,-0.00319,0.00489,0
"a[5,43]",0.42964,0.01103,0.42925,0.40758,0.4514,1
"a[1,44]",0.2524,0.0159,0.25421,0.22692,0.28367,1
"a[2,44]",0.00277,0.00221,0.00195,8e-05,0.0076,1
"a[3,44]",0.00092,0.01132,0.00101,-0.0211,0.01778,0
"a[4,44]",0.00116,0.00215,0.00145,-0.00322,0.0049,0
"a[5,44]",0.42975,0.01108,0.4293,0.40748,0.45414,1
"a[1,45]",0.25244,0.01617,0.25423,0.22715,0.28529,1
"a[2,45]",0.00278,0.00222,0.00197,3e-05,0.00766,1
"a[3,45]",0.00092,0.01146,0.00132,-0.02131,0.01725,0
"a[4,45]",0.00119,0.00218,0.00149,-0.00318,0.00495,0
"a[5,45]",0.43014,0.01173,0.42965,0.40754,0.45674,1
"a[1,46]",0.25257,0.01589,0.25427,0.22794,0.28398,1
"a[2,46]",0.00279,0.00224,0.00191,2e-05,0.0077,1
"a[3,46]",0.00079,0.01154,0.00109,-0.02125,0.01754,0
"a[4,46]",0.00118,0.00217,0.00147,-0.00334,0.00491,0
"a[5,46]",0.4298,0.01119,0.42935,0.40769,0.45291,1
"a[1,47]",0.2528,0.01614,0.25419,0.22804,0.28752,1
"a[2,47]",0.00284,0.00224,0.00198,0.00011,0.00784,1
"a[3,47]",0.00097,0.01127,0.00121,-0.02146,0.01754,0
"a[4,47]",0.00119,0.00218,0.00148,-0.00317,0.00494,0
"a[5,47]",0.4297,0.01088,0.42928,0.40801,0.45071,1
"a[1,48]",0.25279,0.01616,0.2548,0.22739,0.28593,1
"a[2,48]",0.00278,0.00222,0.00196,8e-05,0.00774,1
"a[3,48]",0.00079,0.01137,0.00095,-0.02137,0.01704,0
"a[4,48]",0.00118,0.00217,0.00146,-0.00335,0.00499,0
"a[5,48]",0.42975,0.01094,0.42932,0.40671,0.45216,1
"a[1,49]",0.25271,0.01585,0.25416,0.22787,0.28473,1
"a[2,49]",0.00276,0.0022,0.00194,3e-05,0.00763,1
"a[3,49]",0.00094,0.01149,0.00125,-0.02163,0.01787,0
"a[4,49]",0.00117,0.00215,0.00145,-0.0032,0.00485,0
"a[5,49]",0.43024,0.01131,0.42955,0.40844,0.45463,1
"a[1,50]",0.25271,0.01599,0.25407,0.22788,0.28559,1
"a[2,50]",0.00285,0.00224,0.00202,6e-05,0.00777,1
"a[3,50]",0.00086,0.01135,0.0013,-0.02146,0.01739,0
"a[4,50]",0.0012,0.0022,0.00151,-0.00327,0.005,0
"a[5,50]",0.43014,0.01113,0.42955,0.40845,0.45379,1
"a[1,51]",0.25259,0.01587,0.25437,0.22756,0.28382,1
"a[2,51]",0.00281,0.00222,0.00197,4e-05,0.00784,1
"a[3,51]",0.00093,0.01148,0.00136,-0.02135,0.01835,0
