"","mean","sd","median","lower2.5","upper97.5","diff"
"alpha[10,2,1,2]",0.02564,0.02459,0.01834,0.00066,0.09239,1
"alpha[11,2,1,2]",0.02768,0.0258,0.02013,0.00085,0.09528,1
"alpha[12,2,1,2]",0.1299,0.07876,0.12264,0.00816,0.30013,1
"alpha[1,3,1,2]",0.04837,0.0448,0.03539,0.00137,0.1644,1
"alpha[2,3,1,2]",0.09042,0.0738,0.07307,0.00283,0.27346,1
"alpha[3,3,1,2]",0.05726,0.05226,0.04229,0.00181,0.19103,1
"alpha[4,3,1,2]",0.08825,0.07206,0.07044,0.003,0.26979,1
"alpha[5,3,1,2]",0.0276,0.02563,0.02014,0.00073,0.09482,1
"alpha[6,3,1,2]",0.05196,0.03962,0.04341,0.00227,0.15033,1
"alpha[7,3,1,2]",0.03571,0.03112,0.0271,0.00091,0.11308,1
"alpha[8,3,1,2]",0.01079,0.01086,0.00754,0.00029,0.04004,1
"alpha[9,3,1,2]",0.28799,0.11123,0.27363,0.10271,0.52695,1
"alpha[10,3,1,2]",0.02019,0.01981,0.01429,0.00054,0.07317,1
"alpha[11,3,1,2]",0.02191,0.02086,0.01564,0.00064,0.07837,1
"alpha[12,3,1,2]",0.25955,0.10427,0.26005,0.05343,0.46161,1
"alpha[1,4,1,2]",0.08852,0.07329,0.06931,0.00263,0.26967,1
"alpha[2,4,1,2]",0.04506,0.04213,0.03305,0.00128,0.15511,1
"alpha[3,4,1,2]",0.05776,0.05099,0.04363,0.00157,0.1894,1
"alpha[4,4,1,2]",0.06812,0.05537,0.05461,0.00232,0.20195,1
"alpha[5,4,1,2]",0.07559,0.06677,0.0555,0.00219,0.24461,1
"alpha[6,4,1,2]",0.20952,0.07961,0.20647,0.06404,0.37151,1
"alpha[7,4,1,2]",0.02375,0.02123,0.0177,6e-04,0.07794,1
"alpha[8,4,1,2]",0.00703,0.00693,0.00497,0.00019,0.02564,1
"alpha[9,4,1,2]",0.19378,0.084,0.18183,0.06038,0.38125,1
"alpha[10,4,1,2]",0.04361,0.03831,0.03327,0.0015,0.14114,1
"alpha[11,4,1,2]",0.01434,0.01344,0.01046,0.00042,0.05128,1
"alpha[12,4,1,2]",0.17292,0.07291,0.17215,0.03349,0.3149,1
"alpha[1,5,1,2]",0.04984,0.04546,0.03703,0.00142,0.16979,1
"alpha[2,5,1,2]",0.07368,0.06239,0.05748,0.00215,0.22954,1
"alpha[3,5,1,2]",0.02896,0.02767,0.02051,7e-04,0.10391,1
"alpha[4,5,1,2]",0.16609,0.099,0.16583,0.00737,0.35923,1
"alpha[5,5,1,2]",0.01081,0.01011,0.00787,0.00028,0.03792,1
"alpha[6,5,1,2]",0.17332,0.06216,0.17304,0.05339,0.29532,1
"alpha[7,5,1,2]",0.02384,0.01473,0.0223,0.0014,0.0563,1
"alpha[8,5,1,2]",0.07072,0.03055,0.0649,0.02468,0.14143,1
"alpha[9,5,1,2]",0.1672,0.08429,0.14516,0.04562,0.3472,1
"alpha[10,5,1,2]",0.03595,0.03081,0.02791,0.00121,0.11342,1
"alpha[11,5,1,2]",0.05671,0.0363,0.05223,0.00345,0.13957,1
"alpha[12,5,1,2]",0.14288,0.05893,0.14153,0.02923,0.26377,1
"alpha[1,1,2,2]",0.05377,0.05417,0.03323,0.00108,0.19454,1
"alpha[2,1,2,2]",0.07826,0.09376,0.02452,0.00058,0.29044,1
"alpha[3,1,2,2]",0.06666,0.08132,0.0241,0.00066,0.26581,1
"alpha[4,1,2,2]",0.05695,0.05226,0.04282,0.00168,0.19375,1
"alpha[5,1,2,2]",0.41185,0.29322,0.53601,0.00196,0.79665,1
"alpha[6,1,2,2]",0.16738,0.21022,0.03214,0.00082,0.56573,1
"alpha[7,1,2,2]",0.06315,0.07574,0.03379,0.00087,0.27724,1
"alpha[8,1,2,2]",0.04523,0.04368,0.03265,0.00129,0.16198,1
"alpha[9,1,2,2]",0.05674,0.06011,0.03593,0.00134,0.21687,1
"alpha[10,1,2,2]",0,0,0,0,0,0.5
"alpha[11,1,2,2]",0,0,0,0,0,0.5
"alpha[12,1,2,2]",0,0,0,0,0,0.5
"alpha[1,2,2,2]",0.05699,0.05152,0.04266,0.00157,0.18946,1
"alpha[2,2,2,2]",0.07671,0.09197,0.03296,0.00106,0.32047,1
"alpha[3,2,2,2]",0.08224,0.08436,0.05334,0.00174,0.3115,1
"alpha[4,2,2,2]",0.11012,0.08578,0.09076,0.00407,0.31867,1
"alpha[5,2,2,2]",0.07889,0.07229,0.05796,0.00239,0.2655,1
"alpha[6,2,2,2]",0.09524,0.09378,0.06271,0.00209,0.34759,1
"alpha[7,2,2,2]",0.07323,0.08104,0.04331,0.00127,0.29445,1
"alpha[8,2,2,2]",0.1066,0.10029,0.07189,0.00264,0.35963,1
"alpha[9,2,2,2]",0.06743,0.06604,0.04717,0.00183,0.24585,1
"alpha[10,2,2,2]",0.06148,0.06067,0.04244,0.00156,0.22697,1
"alpha[11,2,2,2]",0.12382,0.15765,0.02889,0.00071,0.47205,1
"alpha[12,2,2,2]",0.06726,0.0664,0.045,0.00135,0.23846,1
"alpha[1,3,2,2]",0.13496,0.17357,0.02469,0.00062,0.49274,1
"alpha[2,3,2,2]",0.05253,0.04602,0.03978,0.00156,0.16912,1
"alpha[3,3,2,2]",0.09437,0.09421,0.06109,0.00155,0.33239,1
"alpha[4,3,2,2]",0.04535,0.04189,0.03352,0.00135,0.15683,1
"alpha[5,3,2,2]",0.04899,0.0448,0.03623,0.00149,0.16942,1
"alpha[6,3,2,2]",0.04335,0.04461,0.02726,0.00088,0.16534,1
"alpha[7,3,2,2]",0.35085,0.25995,0.4331,0.00127,0.73648,1
"alpha[8,3,2,2]",0.04925,0.04901,0.03203,0.00112,0.17641,1
"alpha[9,3,2,2]",0.07459,0.1074,0.0211,0.00063,0.38622,1
"alpha[10,3,2,2]",0.02861,0.03103,0.01867,0.00066,0.11386,1
"alpha[11,3,2,2]",0.05597,0.07299,0.01229,0.00031,0.2249,1
"alpha[12,3,2,2]",0.02118,0.02251,0.01366,0.00048,0.08642,1
"alpha[1,4,2,2]",0.15714,0.1256,0.13097,0.00328,0.42231,1
"alpha[2,4,2,2]",0.08177,0.08175,0.05214,0.00171,0.29305,1
"alpha[3,4,2,2]",0.03783,0.03612,0.0276,0.00113,0.13079,1
"alpha[4,4,2,2]",0.05406,0.0706,0.02866,0.00092,0.26983,1
"alpha[5,4,2,2]",0.05394,0.07693,0.0241,0.00079,0.30234,1
"alpha[6,4,2,2]",0.05915,0.06929,0.03267,0.00103,0.26042,1
"alpha[7,4,2,2]",0.2877,0.22528,0.29698,0.00161,0.67351,1
"alpha[8,4,2,2]",0.04367,0.04252,0.02992,0.00108,0.15628,1
"alpha[9,4,2,2]",0.08941,0.13704,0.01709,5e-04,0.48357,1
"alpha[10,4,2,2]",0.04645,0.04229,0.03428,0.00136,0.15842,1
"alpha[11,4,2,2]",0.06942,0.09772,0.00949,0.00025,0.30556,1
